date,sku,openingStock,receivedQty,soldQty,discardedQty,closingStock,orderPlacedQty,supplierLeadTimeDays,oldestReceiptDate,newestReceiptDate,estimatedOldStockQty,oldestAgeDays,oldStockShare,ageRiskRatio,avgDailySales7d,avgDailySales30d,salesStdDev,demandTrend,daysOfStockRemaining,stockoutRisk,reorderUrgency,expiryRiskScore,daysToExpiry,nearExpiryFlag
2022-01-01,LK-RIC-XAJI0,77,0,25,0,52,46,3,2021-12-01,2021-12-17,11,31,0.212,0.081,25.0,25.0,1.8,0.0,8.7,0.4,Low,0.02,352,False
2022-01-01,LK-RIC-ZMF8M,58,0,8,0,50,42,3,2021-12-03,2021-12-17,22,29,0.44,0.051,8.0,8.0,1.8,0.0,8.3,0.4,Low,0.02,538,False
2022-01-01,LK-RIC-ZBIKC,27,0,14,0,13,20,3,2021-12-16,2021-12-16,13,16,1.0,0.063,14.0,14.0,1.8,0.0,2.2,0.7,Critical,0.02,237,False
2022-01-01,LK-RIC-UY41I,27,0,10,0,17,25,3,2021-12-20,2021-12-20,17,12,1.0,0.018,10.0,10.0,1.8,0.0,2.8,0.7,High,0.02,637,False
2022-01-01,LK-RIC-6OH9S,29,0,11,0,18,23,3,2021-12-07,2021-12-23,3,25,0.167,0.035,11.0,11.0,1.8,0.0,3.0,0.7,High,0.02,696,False
2022-01-01,LK-RIC-MKFAZ,41,0,7,0,34,46,2,2021-12-23,2021-12-23,34,9,1.0,0.012,7.0,7.0,1.8,0.0,5.7,0.4,Medium,0.02,714,False
2022-01-01,LK-RIC-C58DR,26,0,18,0,8,36,3,2021-12-20,2021-12-20,8,12,1.0,0.03,18.0,18.0,1.8,0.0,1.3,0.9,Critical,0.02,384,False
2022-01-01,LK-RIC-EIMVI,44,0,11,0,33,36,3,2021-11-13,2021-12-23,6,49,0.182,0.072,11.0,11.0,1.8,0.0,5.5,0.4,Medium,0.02,628,False
2022-01-01,LK-RIC-3GDPP,50,0,5,0,45,25,3,2021-11-30,2021-12-21,30,32,0.667,0.052,5.0,5.0,1.8,0.0,7.5,0.4,Low,0.02,580,False
2022-01-01,LK-RIC-B9487,55,0,6,0,49,15,3,2021-11-14,2021-12-19,11,48,0.224,0.106,6.0,6.0,1.8,0.0,8.2,0.4,Low,0.02,403,False
2022-01-01,LK-RIC-RGHC0,19,0,0,0,19,8,3,2021-11-30,2021-12-24,6,32,0.316,0.086,0.0,0.0,1.8,0.0,3.2,0.7,High,0.02,338,False
2022-01-01,LK-RIC-BCXUL,24,0,18,0,6,34,2,2021-12-25,2021-12-25,6,7,1.0,0.028,18.0,18.0,1.8,0.0,1.0,0.9,Critical,0.02,247,False
2022-01-01,LK-RIC-5NF4Z,22,0,11,0,11,30,2,2021-12-03,2021-12-26,4,29,0.364,0.086,11.0,11.0,1.8,0.0,1.8,0.9,Critical,0.02,310,False
2022-01-01,LK-RIC-R64DP,10,0,10,0,0,20,3,,,0,0,0.0,0.0,10.0,10.0,1.8,0.0,0.0,1.0,Critical,0.02,294,False
2022-01-01,LK-RIC-L6246,9,0,9,0,0,18,2,,,0,0,0.0,0.0,9.0,9.0,1.8,0.0,0.0,1.0,Critical,0.02,361,False
2022-01-01,LK-RIC-3J2D5,46,0,13,0,33,23,3,2021-12-16,2021-12-16,33,16,1.0,0.034,13.0,13.0,1.8,0.0,5.5,0.4,Medium,0.02,449,False
2022-01-01,LK-RIC-7E8G8,28,0,28,0,0,35,2,,,0,0,0.0,0.0,28.0,28.0,1.8,0.0,0.0,1.0,Critical,0.02,374,False
2022-01-01,LK-RIC-0HP87,33,0,17,0,16,36,3,2021-11-30,2021-12-12,5,32,0.312,0.085,17.0,17.0,1.8,0.0,2.7,0.7,High,0.02,344,False
2022-01-01,LK-RIC-KPUXQ,34,0,19,0,15,30,3,2021-12-10,2021-12-26,4,22,0.267,0.052,19.0,19.0,1.8,0.0,2.5,0.7,High,0.02,398,False
2022-01-01,LK-RIC-4COWG,16,0,16,0,0,21,3,,,0,0,0.0,0.0,16.0,16.0,1.8,0.0,0.0,1.0,Critical,0.02,710,False
2022-01-01,LK-RIC-TUL1P,36,0,14,0,22,26,3,2021-12-12,2021-12-12,22,20,1.0,0.028,14.0,14.0,1.8,0.0,3.7,0.7,High,0.02,693,False
2022-01-01,LK-RIC-6CFNF,69,0,28,0,41,36,2,2021-11-30,2021-12-22,11,32,0.268,0.16,28.0,28.0,1.8,0.0,6.8,0.4,Medium,0.02,168,False
2022-01-01,LK-RIC-0TVHH,25,0,14,0,11,37,3,2021-12-11,2021-12-11,11,21,1.0,0.036,14.0,14.0,1.8,0.0,1.8,0.9,Critical,0.02,562,False
2022-01-01,LK-RIC-JLQM5,26,0,9,0,17,22,3,2021-11-27,2021-12-20,7,35,0.412,0.158,9.0,9.0,1.8,0.0,2.8,0.7,High,0.02,186,False
2022-01-01,LK-RIC-E8QJN,13,0,13,0,0,24,3,,,0,0,0.0,0.0,13.0,13.0,1.8,0.0,0.0,1.0,Critical,0.02,564,False
2022-01-01,LK-RIC-4VE92,37,0,18,0,19,40,3,2021-12-14,2021-12-14,19,18,1.0,0.033,18.0,18.0,1.8,0.0,3.2,0.7,High,0.02,532,False
2022-01-01,LK-RIC-3TRP0,38,0,16,0,22,26,2,2021-12-14,2021-12-14,22,18,1.0,0.086,16.0,16.0,1.8,0.0,3.7,0.7,High,0.02,191,False
2022-01-01,LK-RIC-ZJA8D,50,0,10,0,40,48,2,2021-12-16,2021-12-16,6,16,0.15,0.037,10.0,10.0,1.8,0.0,6.7,0.4,Medium,0.02,413,False
2022-01-01,LK-RIC-LZJJE,22,0,9,0,13,15,2,2021-12-10,2021-12-12,1,22,0.077,0.031,9.0,9.0,1.8,0.0,2.2,0.7,Critical,0.02,695,False
2022-01-01,LK-RIC-ZEBBK,13,0,13,0,0,18,3,,,0,0,0.0,0.0,13.0,13.0,1.8,0.0,0.0,1.0,Critical,0.02,438,False
2022-01-01,LK-RIC-FUK9E,32,0,5,0,27,24,3,2021-12-06,2021-12-11,16,26,0.593,0.042,5.0,5.0,1.8,0.0,4.5,0.7,High,0.02,593,False
2022-01-01,LK-RIC-HXFGC,36,0,6,0,30,22,2,2021-12-12,2021-12-12,30,20,1.0,0.031,6.0,6.0,1.8,0.0,5.0,0.7,Medium,0.02,624,False
2022-01-01,LK-RIC-EIFJF,71,0,15,0,56,46,2,2021-12-12,2021-12-12,56,20,1.0,0.044,15.0,15.0,1.8,0.0,9.3,0.4,Low,0.02,438,False
2022-01-01,LK-RIC-VAIY4,21,0,11,0,10,32,2,2021-12-26,2021-12-26,10,6,1.0,0.01,11.0,11.0,1.8,0.0,1.7,0.9,Critical,0.02,620,False
2022-01-01,LK-RIC-LYK83,69,0,19,0,50,46,3,2021-12-21,2021-12-21,50,11,1.0,0.061,19.0,19.0,1.8,0.0,8.3,0.4,Low,0.02,170,False
2022-01-01,LK-RIC-PBJEK,13,0,10,0,3,24,3,2021-12-18,2021-12-18,3,14,1.0,0.047,10.0,10.0,1.8,0.0,0.5,0.9,Critical,0.02,282,False
2022-01-01,LK-RIC-49ITN,101,0,12,1,88,0,0,2021-11-30,2021-12-24,22,32,0.25,0.066,12.0,12.0,1.8,0.0,14.7,0.05,Low,0.02,453,False
2022-01-01,LK-RIC-1N759,17,0,12,0,5,14,2,2021-12-20,2021-12-20,5,12,1.0,0.036,12.0,12.0,1.8,0.0,0.8,0.9,Critical,0.02,323,False
2022-01-01,LK-RIC-SQ0OX,30,0,20,0,10,32,3,2021-12-26,2021-12-26,10,6,1.0,0.011,20.0,20.0,1.8,0.0,1.7,0.9,Critical,0.02,563,False
2022-01-01,LK-RIC-0PDW5,48,0,39,0,9,63,3,2021-12-25,2021-12-25,9,7,1.0,0.01,39.0,39.0,1.8,0.0,1.5,0.9,Critical,0.02,716,False
