SKU,Barcode,ProductName,Category,SubCategory,Brand,UnitSize,BaseUnitPriceLKR,CostPriceLKR,TypicalShelfLifeDays,IsPerishable,PerishabilityTier,Supplier,SupplierSKU,CaseSize,MinOrderQty,MaxShelfCapacityUnits,BackroomCapacity,AverageWeeklySales,SeasonalityIndex,TurnoverDays
FRS-FRU-ALL-VLZ,4793690912376,Anamalu,Fresh Produce,Produce & Greens,Local,1kg,220.0,176.98,5,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-ANAM-1KG-RA,15,1,50,23,105.43,1.14,2.3
FRS-FRU-ALL-R2W,4792405536487,Ash Plantain,Fresh Produce,Produce & Greens,Local,1kg,220.0,191.29,7,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-ASHP-1KG-6Z,20,1,58,70,48.4,1.11,5.9
FRS-VEG-ALL-9RZ,4794662323602,Ash Pumpkin,Fresh Produce,Produce & Greens,Local,1kg,229.9,185.79,10,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-ASHP-1KG-37,25,1,33,58,62.26,1.13,2.6
FRS-VEG-ALL-SM2,4792269920668,B.Onions - Local,Fresh Produce,Produce & Greens,Local,1kg,270.0,232.06,3,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-BONI-1KG-E7,25,1,26,9,22.61,1.15,5.6
FRS-VEG-ALL-PW8,4796887779257,Bandakka,Fresh Produce,Produce & Greens,Local,1kg,310.0,253.33,6,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-BAND-1KG-AV,10,1,30,35,42.04,1.28,3.5
FRS-VEG-ALL-FKJ,4796000144078,Beans - Butter,Fresh Produce,Produce & Greens,Local,1kg,599.95,507.26,6,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-BEAN-1KG-KE,20,1,56,32,6.24,1.22,44.0
FRS-VEG-ALL-WK8,4792099865641,Beans - Green,Fresh Produce,Produce & Greens,Local,1kg,499.95,427.16,10,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-BEAN-1KG-JU,10,1,36,22,135.18,1.11,1.3
FRS-VEG-ALL-5GS,4798962980565,BeetRoot,Fresh Produce,Produce & Greens,Local,1kg,409.95,329.74,9,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-BEET-1KG-JA,10,1,45,83,36.64,1.07,6.0
FRS-VEG-ALL-UAV,4793474125312,Bitter Guard,Fresh Produce,Produce & Greens,Local,1kg,480.0,384.67,5,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-BITT-1KG-8W,25,1,21,0,11.46,1.17,9.0
FRS-VEG-ALL-MCK,4795999193876,Brinjal,Fresh Produce,Produce & Greens,Local,1kg,419.95,358.14,4,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-BRIN-1KG-P7,10,1,27,7,26.51,1.35,5.0
FRS-VEG-ALL-B64,4792351076518,Cap Chillies,Fresh Produce,Produce & Greens,Local,1kg,629.9,535.13,9,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-CAPC-1KG-8C,20,1,20,33,22.66,1.28,4.3
FRS-VEG-ALL-YAY,4795811574494,Capsicum,Fresh Produce,Produce & Greens,Local,1kg,739.9,629.39,4,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-CAPS-1KG-ZR,10,1,40,0,49.15,0.88,4.0
FRS-VEG-ALL-HTB,4793982218032,Carrot,Fresh Produce,Produce & Greens,Local,1kg,429.9,363.97,7,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-CARR-1KG-3L,10,1,30,26,53.86,1.05,2.7
FRS-VEG-ALL-K3W,4792951646937,Coconut ( Large ),Fresh Produce,Produce & Greens,Local,1 each,100.5,83.51,3,True,HIGH,Ambalangoda Fresh Produce Supply Co. V7W,LOC-COCO-1EAC-RX,36,1,41,5,22.17,1.34,9.1
FRS-VEG-ALL-9C8,4790920199187,Coconut ( Medium),Fresh Produce,Produce & Greens,Local,1 each,95.0,77.47,9,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-COCO-1EAC-QF,12,1,27,15,4.85,1.04,27.3
FRS-VEG-ALL-L3R,4792119604724,Coconut ( small),Fresh Produce,Produce & Greens,Local,1 each,85.0,70.48,8,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-COCO-1EAC-BW,12,1,53,40,35.23,1.33,7.4
FRS-VEG-ALL-NF6,4791461995399,Coconut - Average,Fresh Produce,Produce & Greens,Local,1 each,90.0,72.79,5,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-COCO-1EAC-49,24,1,41,18,16.78,1.2,12.0
FRS-VEG-ALL-2EV,4790257870360,Cucumber,Fresh Produce,Produce & Greens,Local,1kg,195.0,156.3,5,True,HIGH,Hambantota Fresh Produce Supply Co. C7F,LOC-CUCU-1KG-3D,20,1,18,12,19.54,1.07,4.5
FRS-VEG-ALL-TAH,4790390912033,Drumstick,Fresh Produce,Produce & Greens,Local,1kg,660.0,569.57,9,True,HIGH,Local Produce Collectors - Galle,LOC-DRUM-1KG-KZ,15,1,16,28,29.43,1.23,2.7
FRS-VEG-ALL-M3C,4790986027578,Garlic,Fresh Produce,Produce & Greens,Local,1kg,610.0,519.98,4,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-GARL-1KG-WS,20,1,55,63,85.01,1.22,3.2
FRS-GRE-ALL-HBH,4798965583442,Gotukola,Fresh Produce,Produce & Greens,Local,1 bunch,55.0,46.91,2,True,HIGH,Ratnapura Fresh Produce Supply Co. PRG,LOC-GOTU-1BUN-33,10,1,25,0,6.22,1.1,19.7
FRS-VEG-ALL-G4J,4794860704722,Green Chillies,Fresh Produce,Produce & Greens,Local,1kg,649.9,521.19,9,True,HIGH,Kandy Fresh Produce Supply Co. BN3,LOC-GREE-1KG-3B,15,1,27,4,13.22,1.03,10.0
FRS-GRE-ALL-59G,4795605879057,Kankun,Fresh Produce,Produce & Greens,Local,1 bunch,70.0,58.62,2,True,HIGH,Hambantota Fresh Produce Supply Co. J8R,LOC-KANK-1BUN-MS,20,1,19,0,6.27,1.13,14.8
FRS-GRE-ALL-7DW,4797191898665,Kathurumurunga,Fresh Produce,Produce & Greens,Local,1 bunch,75.0,64.03,4,True,HIGH,Hambantota Fresh Produce Supply Co. KTU,LOC-KATH-1BUN-3P,20,1,36,30,47.44,1.29,3.7
FRS-VEG-ALL-Z7D,4792377184303,Knol Khol,Fresh Produce,Produce & Greens,Local,1kg,360.0,302.62,3,True,HIGH,Hambantota Fresh Produce Supply Co. S53,LOC-KNOL-1KG-ML,10,1,53,0,21.51,1.28,12.1
