date,avgTemperatureC,rainfallMM,condition,humidityPercent
2023-01-01,27.9,0.0,Partly Cloudy,86
2023-01-02,25.6,4.4,Rainy,92
2023-01-03,27.6,0.0,Sunny,82
2023-01-04,28.8,0.0,Sunny,81
2023-01-05,28.1,3.2,Rainy,90
2023-01-06,27.1,7.7,Partly Cloudy,78
2023-01-07,28.4,0.0,Sunny,76
2023-01-08,29.1,0.0,Sunny,67
2023-01-09,25.7,14.5,Rainy,83
2023-01-10,26.8,29.7,Rainy,88
2023-01-11,27.4,0.0,Partly Cloudy,78
2023-01-12,27.2,0.0,Partly Cloudy,82
2023-01-13,26.0,23.3,Rainy,92
2023-01-14,27.8,0.0,Sunny,65
2023-01-15,27.3,3.5,Cloudy,83
2023-01-16,26.4,0.0,Partly Cloudy,85
2023-01-17,25.9,0.0,Sunny,74
2023-01-18,25.0,8.9,Rainy,90
2023-01-19,25.6,23.4,Rainy,85
2023-01-20,26.9,0.0,Partly Cloudy,77
2023-01-21,27.1,0.0,Sunny,76
2023-01-22,28.9,0.0,Sunny,68
2023-01-23,29.6,0.0,Partly Cloudy,78
2023-01-24,29.2,0.0,Partly Cloudy,91
2023-01-25,28.0,5.5,Cloudy,95
2023-01-26,27.0,31.4,Rainy,96
2023-01-27,27.2,0.0,Partly Cloudy,84
2023-01-28,28.6,0.0,Sunny,77
2023-01-29,28.4,0.0,Sunny,70
2023-01-30,27.9,0.0,Partly Cloudy,78
2023-01-31,25.5,16.0,Rainy,95
2023-02-01,25.6,33.2,Rainy,80
2023-02-02,26.9,0.0,Partly Cloudy,86
2023-02-03,26.8,6.0,Rainy,98
2023-02-04,29.1,0.0,Sunny,76
2023-02-05,28.6,23.6,Rainy,90
2023-02-06,27.2,0.0,Cloudy,77
2023-02-07,25.4,8.4,Rainy,82
2023-02-08,25.4,19.9,Rainy,92
2023-02-09,27.1,0.0,Sunny,76
2023-02-10,27.9,0.0,Cloudy,85
2023-02-11,29.8,0.0,Sunny,80
2023-02-12,28.9,0.0,Sunny,76
2023-02-13,27.8,0.0,Partly Cloudy,82
2023-02-14,27.5,39.0,Rainy,89
2023-02-15,30.1,0.0,Sunny,77
2023-02-16,27.0,28.1,Rainy,89
2023-02-17,26.6,8.5,Rainy,81
2023-02-18,27.1,0.0,Sunny,77
2023-02-19,27.8,14.3,Rainy,82
2023-02-20,28.4,0.0,Cloudy,82
2023-02-21,28.6,0.0,Sunny,78
2023-02-22,28.1,0.0,Cloudy,78
2023-02-23,28.8,0.0,Sunny,73
2023-02-24,30.4,0.0,Sunny,76
2023-02-25,29.4,0.0,Partly Cloudy,71
2023-02-26,28.8,0.0,Sunny,72
2023-02-27,31.1,0.0,Sunny,75
