sku,barcode,productName,category,brand,unitSize,baseUnitPriceLKR,typicalShelfLifeDays,supplier,caseSize,maxShelfCapacityUnits,widthCm,heightCm,depthCm,unitCostLKR,minFacings,maxFacings
LK-RIC-XAJI0,4798196001333,Araliya Supiri Samba Rice 1kg,Rice & Grains,Araliya,1kg,289.1,383,Araliya Rice Mills,23,115,9.4,23.9,16.8,265.5,1,4
LK-RIC-ZMF8M,4791615594072,Araliya White Raw Rice 5kg,Rice & Grains,Araliya,5kg,1361.35,567,Araliya Rice Mills,23,92,21.6,24.7,17.6,1172.97,3,4
LK-RIC-ZBIKC,4793164752552,CIC Basmathi Rice White 1kg,Rice & Grains,CIC,1kg,234.42,253,CIC Agri Businesses,11,33,8.3,18.2,19.8,211.92,3,8
LK-RIC-UY41I,4790564139532,CIC Red Suduru Rice 5kg,Rice & Grains,CIC,5kg,1458.56,649,CIC Agri Businesses,14,42,9.9,23.2,7.5,1307.26,3,6
LK-RIC-6OH9S,4791012269160,CIC Sudu Suduru Rice 1kg,Rice & Grains,CIC,1kg,266.23,721,CIC Agri Businesses,23,46,18.6,11.1,18.0,229.02,2,8
LK-RIC-MKFAZ,4794828148933,CIC Suwandel Rice 1kg,Rice & Grains,CIC,1kg,223.94,723,CIC Agri Businesses,16,80,5.4,33.1,17.9,195.78,2,4
LK-RIC-C58DR,4791822782484,CIC Kaluheenati Rice 1kg,Rice & Grains,CIC,1kg,356.94,396,CIC Agri Businesses,12,48,13.0,26.1,9.3,319.32,3,6
LK-RIC-EIMVI,4793010310516,Catch Rice Suduru Samba 1kg,Rice & Grains,Catch,1kg,290.73,677,Ceylon Catch PLC,23,69,19.5,31.8,12.8,262.61,1,6
LK-RIC-3GDPP,4797010651334,Akshata Suwandel Rice 4kg,Rice & Grains,Akshata,4kg,939.48,612,Akshata Agri Products,14,70,10.0,32.9,10.5,839.03,3,3
LK-RIC-B9487,4793267736022,Akshata Kuruluthuda Rice 800g,Rice & Grains,Akshata,800g,254.87,451,Akshata Agri Products,15,75,18.9,27.7,16.3,219.42,3,8
LK-RIC-RGHC0,4790500978829,Akshata Pachchaperumal Rice 800g,Rice & Grains,Akshata,800g,195.34,370,Akshata Agri Products,8,24,13.1,33.4,12.7,173.76,3,7
LK-RIC-BCXUL,4794353462474,Akshata Kaluheenati Rice 800g,Rice & Grains,Akshata,800g,243.26,254,Akshata Agri Products,20,40,6.5,13.8,7.5,212.83,2,3
LK-RIC-5NF4Z,4799808412417,Ariya Pure Basmathi Rice 1kg,Rice & Grains,Ariya,1kg,360.13,339,Ariya Trading,15,45,19.4,13.5,13.8,315.28,2,7
LK-RIC-R64DP,4794005242782,India Gate Basmati Rice Excel 5kg,Rice & Grains,India Gate,5kg,1499.52,294,KRBL Limited (India),10,20,21.7,23.7,5.5,1329.09,1,3
LK-RIC-L6246,4793315869238,India Gate Basmati Rice Exotic 1kg,Rice & Grains,India Gate,1kg,355.49,361,KRBL Limited (India),6,18,19.7,17.0,18.8,306.23,3,8
LK-RIC-3J2D5,4797337543305,Dunar Basmathi Rice Daily 5kg,Rice & Grains,Dunar,5kg,1462.3,465,Dunar Foods (India),14,56,17.8,18.8,19.7,1310.35,3,5
LK-RIC-7E8G8,4794019655691,Dunar Basmathi Rice Nawazish 1kg,Rice & Grains,Dunar,1kg,377.6,374,Dunar Foods (India),7,35,5.0,33.0,12.2,344.77,3,8
LK-RIC-0HP87,4799514846568,Tilda Pure Original Basmathi 5kg,Rice & Grains,Tilda,5kg,1492.62,376,Tilda Limited (UK),18,54,17.3,16.1,12.3,1323.56,1,5
LK-RIC-KPUXQ,4797387214897,Turkey Basmathi Rice 2kg,Rice & Grains,Turkey,2kg,508.0,420,Turkey Foods Lanka,15,45,21.1,12.0,3.8,442.41,2,7
LK-RIC-4COWG,4796763201636,Prima Chakki Fresh Atta 1kg,Rice & Grains,Prima,1kg,228.2,710,Prima Ceylon Limited,7,21,23.3,11.3,5.3,196.83,2,8
LK-RIC-TUL1P,4798687277438,Prima Self Raising Flour 1kg,Rice & Grains,Prima,1kg,350.93,713,Prima Ceylon Limited,13,52,13.8,27.3,7.0,317.02,2,5
LK-RIC-6CFNF,4793166587602,Foodlink Chakki Fresh Atta Flour 1kg,Rice & Grains,Foodlink,1kg,233.92,200,Foodlink Lanka,18,90,5.1,17.5,15.8,209.31,2,7
LK-RIC-0TVHH,4796706562725,Harischandra Kurakkan Flour 400g,Rice & Grains,Harischandra,400g,215.34,583,Harischandra Mills PLC,24,48,6.7,19.6,17.7,191.22,1,3
LK-RIC-JLQM5,4794641708055,Star Gold Chakki Atta Flour 1kg,Rice & Grains,Star Gold,1kg,237.14,221,Star Gold Trading,13,39,21.8,24.8,7.1,217.19,2,8
LK-RIC-E8QJN,4799912419043,Star Gold White Rice String Hopper Flour 1kg,Rice & Grains,Star Gold,1kg,302.12,564,Star Gold Trading,12,24,16.8,30.4,7.1,261.49,3,5
LK-RIC-4VE92,4795865185066,Star Gold Red Rice String Hopper Flour 1kg,Rice & Grains,Star Gold,1kg,347.69,550,Star Gold Trading,20,60,13.7,27.8,19.4,317.67,2,7
LK-RIC-3TRP0,4794531473797,Araliya Supiri Samba Rice 1kg,Rice & Grains,Araliya,1kg,308.5,209,Araliya Rice Mills,16,48,14.8,17.6,7.4,276.81,2,7
LK-RIC-ZJA8D,4796783777012,Araliya White Raw Rice 5kg,Rice & Grains,Araliya,5kg,1164.04,429,Araliya Rice Mills,24,96,14.5,22.3,10.2,1042.68,3,7
LK-RIC-LZJJE,4793518233744,CIC Basmathi Rice White 1kg,Rice & Grains,CIC,1kg,329.62,717,CIC Agri Businesses,15,30,21.7,16.0,9.1,283.93,2,3
LK-RIC-ZEBBK,4792710947770,CIC Red Suduru Rice 5kg,Rice & Grains,CIC,5kg,1201.93,438,CIC Agri Businesses,9,18,13.0,10.0,13.7,1036.14,1,4
LK-RIC-FUK9E,4796999386770,CIC Sudu Suduru Rice 1kg,Rice & Grains,CIC,1kg,250.65,619,CIC Agri Businesses,24,48,17.2,28.0,19.1,221.74,1,8
LK-RIC-HXFGC,4790679740340,CIC Suwandel Rice 1kg,Rice & Grains,CIC,1kg,326.35,644,CIC Agri Businesses,13,52,20.8,24.9,14.2,286.48,1,6
LK-RIC-EIFJF,4790249947179,CIC Kaluheenati Rice 1kg,Rice & Grains,CIC,1kg,322.98,458,CIC Agri Businesses,23,115,13.8,24.1,18.1,283.58,3,5
