Date,AvgTemperatureC,RainfallMM,Condition,HumidityPercent
2024-01-01,27.0,18.8,Rainy,89
2024-01-02,27.4,0.0,Partly Cloudy,83
2024-01-03,27.1,0.0,Cloudy,84
2024-01-04,26.6,0.0,Cloudy,80
2024-01-05,27.9,0.0,Sunny,82
2024-01-06,28.9,0.0,Sunny,81
2024-01-07,29.9,0.0,Partly Cloudy,82
2024-01-08,28.1,0.0,Sunny,75
2024-01-09,27.9,0.0,Sunny,77
2024-01-10,28.4,0.0,Partly Cloudy,84
2024-01-11,27.6,0.0,Sunny,72
2024-01-12,25.3,30.6,Rainy,92
2024-01-13,27.9,0.0,Sunny,84
2024-01-14,28.1,7.1,Partly Cloudy,78
2024-01-15,27.8,0.0,Partly Cloudy,82
2024-01-16,26.3,19.2,Rainy,95
2024-01-17,24.6,0.0,Partly Cloudy,86
2024-01-18,25.2,0.0,Partly Cloudy,76
2024-01-19,25.9,0.0,Sunny,80
2024-01-20,25.2,0.0,Partly Cloudy,79
2024-01-21,25.7,8.9,Cloudy,85
2024-01-22,27.1,0.0,Cloudy,80
2024-01-23,27.8,4.3,Cloudy,84
2024-01-24,27.6,0.0,Sunny,76
2024-01-25,28.6,0.0,Partly Cloudy,73
2024-01-26,29.9,0.0,Sunny,73
2024-01-27,29.9,0.0,Sunny,86
2024-01-28,28.3,5.5,Cloudy,95
2024-01-29,28.4,0.0,Cloudy,91
2024-01-30,29.1,0.0,Cloudy,81
2024-01-31,28.4,0.0,Partly Cloudy,92
2024-02-01,27.6,3.4,Cloudy,83
2024-02-02,27.4,0.0,Cloudy,79
2024-02-03,25.6,17.8,Rainy,93
2024-02-04,26.9,0.0,Cloudy,75
2024-02-05,28.4,0.0,Cloudy,81
2024-02-06,30.4,0.0,Sunny,77
2024-02-07,30.4,0.0,Cloudy,87
2024-02-08,28.6,15.0,Cloudy,90
2024-02-09,30.1,0.0,Sunny,73
2024-02-10,27.9,0.0,Partly Cloudy,70
2024-02-11,30.1,0.0,Sunny,73
2024-02-12,27.2,19.9,Rainy,92
2024-02-13,27.4,0.0,Partly Cloudy,81
2024-02-14,29.1,0.0,Sunny,77
2024-02-15,29.6,0.0,Partly Cloudy,85
2024-02-16,26.7,5.9,Rainy,89
2024-02-17,25.8,10.2,Rainy,94
2024-02-18,28.4,0.0,Partly Cloudy,81
2024-02-19,30.4,0.0,Cloudy,74
2024-02-20,30.6,0.0,Sunny,81
2024-02-21,30.4,0.0,Sunny,68
2024-02-22,29.1,0.0,Sunny,72
2024-02-23,28.3,3.8,Rainy,89
2024-02-24,28.6,9.0,Cloudy,79
2024-02-25,28.6,0.0,Sunny,78
2024-02-26,28.8,7.0,Partly Cloudy,75
2024-02-27,28.6,0.0,Cloudy,91
2024-02-28,27.8,0.0,Cloudy,87
2024-02-29,24.3,27.5,Rainy,80
2024-03-01,26.1,11.6,Rainy,86
2024-03-02,29.4,0.0,Partly Cloudy,91
2024-03-03,31.6,0.0,Sunny,78
2024-03-04,29.0,10.0,Rainy,84
2024-03-05,28.9,0.0,Partly Cloudy,84
2024-03-06,30.1,0.0,Partly Cloudy,88
2024-03-07,28.1,0.0,Cloudy,80
2024-03-08,25.4,33.6,Rainy,88
2024-03-09,25.4,26.6,Rainy,98
2024-03-10,26.8,7.4,Cloudy,79
2024-03-11,29.2,6.8,Cloudy,91
2024-03-12,28.9,0.0,Sunny,67
2024-03-13,28.9,0.0,Cloudy,81
2024-03-14,28.6,0.0,Sunny,73
