date,sku,UnitsSold,UnitPriceLKR,PromotionFlag,PromotionType,StockoutFlag,DemandExceededSupply,LostSalesQty
2025-01-01,LK-RIC-XAJI0,10,280.55,False,,0,0,0
2025-01-01,LK-RIC-ZMF8M,7,1325.51,False,,0,0,0
2025-01-01,LK-RIC-ZBIKC,6,222.61,False,,0,0,0
2025-01-01,LK-RIC-UY41I,13,1412.11,False,,0,0,0
2025-01-01,LK-RIC-6OH9S,36,128.75,True,BOGOF,0,0,0
2025-01-01,LK-RIC-MKFAZ,6,217.72,False,,0,0,0
2025-01-01,LK-RIC-C58DR,13,338.88,False,,0,0,0
2025-01-01,LK-RIC-EIMVI,6,281.47,False,,0,0,0
2025-01-01,LK-RIC-B9487,14,251.36,False,,0,0,0
2025-01-01,LK-RIC-RGHC0,16,187.0,False,,0,0,0
2025-01-01,LK-RIC-BCXUL,14,233.88,False,,0,0,0
2025-01-01,LK-RIC-5NF4Z,9,348.06,False,,0,0,0
2025-01-01,LK-RIC-L6246,6,344.18,False,,1,1,15
2025-01-01,LK-RIC-3J2D5,8,1406.27,False,,0,0,0
2025-01-01,LK-RIC-7E8G8,11,363.77,False,,0,0,0
2025-01-01,LK-RIC-0HP87,12,1439.52,False,,0,0,0
2025-01-01,LK-RIC-KPUXQ,19,245.66,True,BOGOF,0,0,0
2025-01-01,LK-RIC-4COWG,13,216.41,False,,0,0,0
2025-01-01,LK-RIC-TUL1P,19,346.09,False,,0,0,0
2025-01-01,LK-RIC-6CFNF,22,223.32,False,,0,0,0
2025-01-01,LK-RIC-0TVHH,16,210.58,False,,0,0,0
2025-01-01,LK-RIC-JLQM5,6,229.9,False,,0,0,0
2025-01-01,LK-RIC-E8QJN,12,295.61,False,,1,1,12
2025-01-01,LK-RIC-4VE92,27,333.09,False,,0,0,0
2025-01-01,LK-RIC-ZJA8D,13,1108.27,False,,0,0,0
2025-01-01,LK-RIC-LZJJE,10,322.31,False,,0,0,0
2025-01-01,LK-RIC-ZEBBK,13,1176.31,False,,0,0,0
2025-01-01,LK-RIC-FUK9E,24,202.85,True,Bundle,0,0,0
2025-01-01,LK-RIC-HXFGC,13,314.33,False,,0,0,0
2025-01-01,LK-RIC-EIFJF,8,306.42,False,,0,0,0
2025-01-01,LK-RIC-VAIY4,5,352.54,False,,0,0,0
2025-01-01,LK-RIC-LYK83,8,333.26,False,,0,0,0
2025-01-01,LK-RIC-PBJEK,9,274.43,False,,1,1,10
2025-01-01,LK-RIC-49ITN,13,326.25,False,,0,0,0
2025-01-01,LK-RIC-1N759,6,243.64,False,,0,0,0
2025-01-01,LK-RIC-SQ0OX,7,343.69,False,,0,0,0
2025-01-01,LK-RIC-0PDW5,12,1185.01,False,,0,0,0
2025-01-01,LK-RIC-I6FQJ,26,299.5,True,Flash,0,0,0
2025-01-01,LK-RIC-IUU9K,15,974.11,True,Flash,0,0,0
2025-01-01,LK-RIC-BNE6L,11,336.1,False,,0,0,0
2025-01-01,LK-RIC-0982N,11,1204.37,False,,0,0,0
2025-01-01,LK-RIC-XWQZX,15,665.46,False,,0,0,0
2025-01-01,LK-DRY-4W7KY,7,319.94,False,,0,0,0
2025-01-01,LK-DRY-92H3T,21,428.43,False,,0,0,0
2025-01-01,LK-DRY-AJEPE,9,224.14,False,,0,0,0
2025-01-01,LK-DRY-PDZP6,18,353.15,False,,0,0,0
2025-01-01,LK-DRY-X1ZHQ,19,249.28,False,,0,0,0
2025-01-01,LK-DRY-NEC8U,4,99.12,False,,0,0,0
2025-01-01,LK-DRY-U3493,11,175.9,False,,0,0,0
2025-01-01,LK-DRY-TNQFL,6,244.77,False,,0,0,0
2025-01-01,LK-DRY-DYVSL,17,87.48,False,,0,0,0
2025-01-01,LK-DRY-43C5B,13,190.45,False,,0,0,0
2025-01-01,LK-DRY-SOLML,10,150.68,False,,0,0,0
2025-01-01,LK-DRY-G1R11,17,66.71,False,,0,0,0
2025-01-01,LK-DRY-3C54W,12,101.32,False,,0,0,0
2025-01-01,LK-DRY-XBZ9S,5,89.81,False,,0,0,0
2025-01-01,LK-DRY-5MUFM,8,147.41,False,,0,0,0
2025-01-01,LK-DRY-GH8RI,6,180.82,False,,0,0,0
2025-01-01,LK-DRY-POYIP,5,147.36,False,,0,0,0
2025-01-01,LK-DRY-EJX5T,7,167.59,False,,0,0,0
2025-01-01,LK-DRY-NB74X,11,62.92,False,,0,0,0
2025-01-01,LK-DRY-P2QD6,12,1548.49,False,,0,0,0
2025-01-01,LK-DRY-2SA5B,13,423.76,False,,0,0,0
2025-01-01,LK-DRY-9RGEZ,19,320.18,False,,0,0,0
2025-01-01,LK-DRY-LEN60,14,991.04,False,,0,0,0
2025-01-01,LK-DRY-VPYMB,5,1027.89,False,,0,0,0
2025-01-01,LK-DRY-8BFQN,29,327.06,False,,0,0,0
2025-01-01,LK-DRY-HWY9H,4,319.3,True,Bundle,1,1,52
2025-01-01,LK-DRY-2ATN2,13,235.31,False,,0,0,0
2025-01-01,LK-DRY-52XG8,16,471.84,False,,0,0,0
2025-01-01,LK-DRY-KTSG7,8,176.45,False,,0,0,0
2025-01-01,LK-DRY-XKI3O,7,253.58,False,,0,0,0
2025-01-01,LK-DRY-LQJID,6,214.94,False,,0,0,0
2025-01-01,LK-DRY-HMBR5,12,375.39,False,,0,0,0
2025-01-01,LK-DRY-K9YE9,12,141.6,False,,0,0,0
2025-01-01,LK-DRY-7LOW4,15,263.45,False,,0,0,0
2025-01-01,LK-DRY-R821U,8,65.6,False,,0,0,0
2025-01-01,LK-DRY-1750C,15,99.48,False,,0,0,0
2025-01-01,LK-DRY-VGIUI,12,96.49,False,,0,0,0
2025-01-01,LK-DRY-C7X0H,13,176.38,False,,0,0,0
2025-01-01,LK-DRY-AT7O7,12,51.35,False,,0,0,0
2025-01-01,LK-DRY-G05KB,17,154.45,False,,0,0,0
2025-01-01,LK-DRY-JG02U,7,144.78,False,,0,0,0
2025-01-01,LK-DRY-K0AXY,19,138.85,False,,0,0,0
2025-01-01,LK-DRY-OTQTX,7,175.3,False,,0,0,0
2025-01-01,LK-DRY-EHUDS,11,147.13,False,,0,0,0
2025-01-01,LK-DRY-MC97C,16,212.61,False,,0,0,0
2025-01-01,LK-DRY-T0IAA,18,134.62,False,,0,0,0
2025-01-01,LK-DRY-HDBVZ,26,699.61,False,,0,0,0
2025-01-01,LK-DRY-59SOJ,19,1039.52,False,,0,0,0
2025-01-01,LK-DRY-4FQCO,16,303.0,True,Discount,0,0,0
2025-01-01,LK-DRY-G10UR,16,986.88,False,,0,0,0
2025-01-01,LK-BEV-SRD9Q,3,158.16,False,,0,0,0
2025-01-01,LK-BEV-RXYJ3,5,454.92,False,,0,0,0
2025-01-01,LK-BEV-O4IZA,9,256.41,True,Bundle,0,0,0
2025-01-01,LK-BEV-P7G7S,2,499.71,False,,0,0,0
2025-01-01,LK-BEV-DNTCA,5,187.0,False,,0,0,0
2025-01-01,LK-BEV-XG4AH,6,459.51,False,,0,0,0
2025-01-01,LK-BEV-ZW0LD,5,519.5,False,,0,0,0
2025-01-01,LK-BEV-AO20U,6,472.12,False,,0,0,0
2025-01-01,LK-BEV-W82LK,5,298.15,False,,0,0,0
2025-01-01,LK-BEV-RWIXZ,7,515.98,False,,0,0,0
2025-01-01,LK-BEV-F9RK7,9,418.62,False,,0,0,0
2025-01-01,LK-BEV-4XYF9,7,398.23,True,Discount,0,0,0
2025-01-01,LK-BEV-PAHKZ,1,434.64,False,,0,0,0
2025-01-01,LK-BEV-4W3ZK,5,349.21,False,,0,0,0
2025-01-01,LK-BEV-77GGK,6,361.99,False,,0,0,0
2025-01-01,LK-BEV-GU2HB,3,436.74,False,,0,0,0
2025-01-01,LK-BEV-0XI5B,3,439.08,False,,0,0,0
