Feature,Importance
sales14dayavg,0.43467846597086257
sales30dayavg,0.2552259479453197
promotionflag,0.10602729411167222
humiditypercent,0.054473286588111236
sales7dayavg,0.02408063188969754
dayofweek_avg,0.02374952518176667
sales7daystd,0.020077650072874487
unitpricelkr,0.01609006504991091
rainfall7dayavg,0.015904241572956508
sku_encoded,0.01533607227470585
dayofweek,0.011322312461597981
avgtemperaturec,0.005589316437690081
isweekend,0.004947050575694877
dayofmonth,0.0033609351356211365
dayofyear,0.002723749190569133
category_encoded,0.0020742269134811442
rainfallmm,0.0014846860178737843
rainyday_packagedgoods,0.0007828914639999828
weekofyear,0.0006510659737793486
ismonthend,0.00042441746325278836
isdryday,0.00034115771734034053
israiny,0.0002643822263203154
highhumidity,0.00019898258003657918
tempmoderate,9.59433771589217e-05
tempcool,9.570180770599886e-05
year,0.0
month,0.0
quarter,0.0
ismonthstart,0.0
ispoyaday,0.0
isnewyear,0.0
isves ak,0.0
isramadanperiod,0.0
ischristmasseason,0.0
isswmonsoon,0.0
isnemonsoon,0.0
isintermonsoon,0.0
is2022crisis,0.0
yeartrend,0.0
temphot,0.0
isheavyrain,0.0
hotweather_beverage,0.0
hotweather_icecream,0.0
poyaday_vegdemand,0.0
poyaday_meatdecline,0.0
