sku,barcode,productname,category,brand,unitsize,baseunitpricelkr,typicalshelflifedays,supplier,casesize,maxshelfcapacityunits,widthcm,heightcm,depthcm,unitcostlkr,minfacings,maxfacings
LK-RIC-XAJI0,4798196001333,Araliya Supiri Samba Rice 1kg,Rice & Grains,Araliya,1kg,265.91,383,Araliya Rice Mills,23,115,9.4,23.9,16.8,244.21,1,4
LK-RIC-ZMF8M,4791615594072,Araliya White Raw Rice 5kg,Rice & Grains,Araliya,5kg,1252.17,567,Araliya Rice Mills,23,92,21.6,24.7,17.6,1078.89,3,4
LK-RIC-ZBIKC,4793164752552,CIC Basmathi Rice White 1kg,Rice & Grains,CIC,1kg,215.62,253,CIC Agri Businesses,11,33,8.3,18.2,19.8,194.92,3,8
LK-RIC-UY41I,4790564139532,CIC Red Suduru Rice 5kg,Rice & Grains,CIC,5kg,1341.58,649,CIC Agri Businesses,14,42,9.9,23.2,7.5,1202.41,3,6
LK-RIC-6OH9S,4791012269160,CIC Sudu Suduru Rice 1kg,Rice & Grains,CIC,1kg,244.88,721,CIC Agri Businesses,23,46,18.6,11.1,18.0,210.65,2,8
LK-RIC-MKFAZ,4794828148933,CIC Suwandel Rice 1kg,Rice & Grains,CIC,1kg,205.98,723,CIC Agri Businesses,16,80,5.4,33.1,17.9,180.08,2,4
LK-RIC-C58DR,4791822782484,CIC Kaluheenati Rice 1kg,Rice & Grains,CIC,1kg,328.31,396,CIC Agri Businesses,12,48,13.0,26.1,9.3,293.71,3,6
LK-RIC-EIMVI,4793010310516,Catch Rice Suduru Samba 1kg,Rice & Grains,Catch,1kg,267.41,677,Ceylon Catch PLC,23,69,19.5,31.8,12.8,241.55,1,6
LK-RIC-3GDPP,4797010651334,Akshata Suwandel Rice 4kg,Rice & Grains,Akshata,4kg,864.13,612,Akshata Agri Products,14,70,10.0,32.9,10.5,771.74,3,3
LK-RIC-B9487,4793267736022,Akshata Kuruluthuda Rice 800g,Rice & Grains,Akshata,800g,234.43,451,Akshata Agri Products,15,75,18.9,27.7,16.3,201.82,3,8
LK-RIC-RGHC0,4790500978829,Akshata Pachchaperumal Rice 800g,Rice & Grains,Akshata,800g,179.67,370,Akshata Agri Products,8,24,13.1,33.4,12.7,159.82,3,7
LK-RIC-BCXUL,4794353462474,Akshata Kaluheenati Rice 800g,Rice & Grains,Akshata,800g,223.75,254,Akshata Agri Products,20,40,6.5,13.8,7.5,195.76,2,3
LK-RIC-5NF4Z,4799808412417,Ariya Pure Basmathi Rice 1kg,Rice & Grains,Ariya,1kg,331.25,339,Ariya Trading,15,45,19.4,13.5,13.8,289.99,2,7
LK-RIC-R64DP,4794005242782,India Gate Basmati Rice Excel 5kg,Rice & Grains,India Gate,5kg,1379.25,294,KRBL Limited (India),10,20,21.7,23.7,5.5,1222.49,1,3
LK-RIC-L6246,4793315869238,India Gate Basmati Rice Exotic 1kg,Rice & Grains,India Gate,1kg,326.98,361,KRBL Limited (India),6,18,19.7,17.0,18.8,281.67,3,8
LK-RIC-3J2D5,4797337543305,Dunar Basmathi Rice Daily 5kg,Rice & Grains,Dunar,5kg,1345.02,465,Dunar Foods (India),14,56,17.8,18.8,19.7,1205.26,3,5
