Date,AvgTemperatureC,MaxTemperatureC,MinTemperatureC,RainfallMM,RainfallIntensity,Condition,HumidityPercent,WindSpeedKmh,IsExtremeWeather
2022-01-01,28.2,31.0,25.5,0.0,None,Clear,68,12,False
2022-01-02,28.0,30.5,25.5,0.0,None,Partly Cloudy,71,12,False
2022-01-03,28.3,31.6,24.9,0.0,None,Partly Cloudy,70,8,False
2022-01-04,28.7,31.8,25.6,0.0,None,Clear,71,8,False
2022-01-05,28.0,30.7,25.3,0.0,None,Partly Cloudy,69,8,False
2022-01-06,27.0,29.8,24.2,0.0,None,Clear,70,5,False
2022-01-07,28.3,31.4,25.3,0.0,None,Clear,69,12,False
2022-01-08,27.6,30.3,25.0,0.0,None,Partly Cloudy,68,9,False
2022-01-09,28.0,31.4,24.6,0.0,None,Clear,75,7,False
2022-01-10,27.7,30.3,25.1,0.0,None,Cloudy,71,12,False
2022-01-11,27.7,30.8,24.7,0.0,None,Partly Cloudy,65,9,False
2022-01-12,29.3,32.3,26.2,0.0,None,Clear,71,10,False
2022-01-13,27.1,29.4,24.9,0.0,None,Clear,67,10,False
2022-01-14,27.2,30.9,23.5,0.0,None,Partly Cloudy,73,7,False
2022-01-15,28.3,31.3,25.4,0.0,None,Cloudy,65,9,False
2022-01-16,27.2,30.3,24.2,1.1,Light,Light Rain,76,12,False
2022-01-17,27.7,30.7,24.6,0.0,None,Clear,72,10,False
2022-01-18,26.7,28.9,24.6,0.0,None,Clear,70,12,False
2022-01-19,27.9,30.3,25.6,0.0,None,Partly Cloudy,66,9,False
2022-01-20,29.0,32.1,25.9,0.0,None,Partly Cloudy,74,9,False
2022-01-21,28.7,31.4,25.9,0.0,None,Clear,69,5,False
2022-01-22,27.5,30.6,24.4,0.0,None,Clear,75,9,False
2022-01-23,27.5,30.0,24.9,0.0,None,Clear,70,14,False
2022-01-24,27.7,30.4,25.0,9.5,Light,Light Rain,75,5,False
2022-01-25,28.6,31.1,26.1,0.0,None,Partly Cloudy,68,11,False
2022-01-26,27.6,30.6,24.6,0.0,None,Partly Cloudy,71,7,False
2022-01-27,27.6,30.3,24.9,0.0,None,Clear,72,8,False
2022-01-28,28.8,31.6,25.9,0.0,None,Cloudy,70,10,False
2022-01-29,28.0,30.3,25.7,0.0,None,Partly Cloudy,69,7,False
2022-01-30,27.5,30.5,24.4,0.0,None,Clear,74,10,False
2022-01-31,27.6,30.8,24.4,0.0,None,Clear,72,11,False
2022-02-01,29.4,31.9,26.9,0.0,None,Partly Cloudy,68,8,False
2022-02-02,29.0,32.1,25.9,0.0,None,Clear,69,11,False
2022-02-03,28.7,31.3,26.1,0.0,None,Partly Cloudy,72,13,False
2022-02-04,29.9,32.5,27.3,0.0,None,Clear,70,7,False
2022-02-05,28.6,31.4,25.9,0.0,None,Clear,70,12,False
2022-02-06,29.0,31.7,26.3,0.0,None,Clear,69,8,False
2022-02-07,29.1,32.8,25.4,0.0,None,Partly Cloudy,73,13,False
2022-02-08,29.2,32.3,26.1,0.0,None,Partly Cloudy,70,6,False
2022-02-09,30.4,33.3,27.5,0.9,Light,Light Rain,70,8,False
2022-02-10,29.3,31.7,26.8,1.2,Light,Light Rain,71,11,False
2022-02-11,31.3,33.8,28.9,0.0,None,Clear,64,14,False
2022-02-12,28.9,31.1,26.6,0.0,None,Partly Cloudy,71,9,False
2022-02-13,29.6,32.5,26.6,0.0,None,Cloudy,69,10,False
2022-02-14,28.6,31.5,25.6,0.0,None,Cloudy,73,8,False
2022-02-15,29.9,32.9,26.9,1.2,Light,Light Rain,69,10,False
2022-02-16,28.6,31.8,25.4,0.0,None,Clear,73,7,False
2022-02-17,29.4,31.8,27.1,0.0,None,Clear,71,8,False
2022-02-18,29.0,32.2,25.7,0.0,None,Clear,75,10,False
2022-02-19,28.7,31.7,25.7,0.0,None,Clear,67,11,False
2022-02-20,29.8,32.6,26.9,0.0,None,Cloudy,73,6,False
2022-02-21,28.4,30.8,26.0,0.0,None,Partly Cloudy,74,10,False
2022-02-22,29.7,33.0,26.3,0.0,None,Clear,68,7,False
2022-02-23,30.0,33.4,26.5,0.0,None,Clear,74,7,False
2022-02-24,28.6,32.1,25.2,0.0,None,Clear,70,8,False
2022-02-25,28.1,31.3,25.0,0.0,None,Clear,67,8,False
2022-02-26,28.4,30.9,26.0,0.0,None,Partly Cloudy,67,10,False
2022-02-27,29.0,31.4,26.7,0.0,None,Cloudy,72,5,False
2022-02-28,28.9,31.6,26.2,0.0,None,Cloudy,77,9,False
2022-03-01,30.0,32.5,27.4,0.0,None,Partly Cloudy,73,12,False
2022-03-02,29.0,31.8,26.2,0.0,None,Clear,72,11,False
2022-03-03,29.5,32.2,26.8,0.0,None,Partly Cloudy,67,5,False
2022-03-04,30.0,33.7,26.4,0.0,None,Clear,70,11,False
2022-03-05,28.4,31.4,25.4,0.0,None,Partly Cloudy,73,8,False
2022-03-06,29.2,32.4,25.9,0.0,None,Cloudy,68,5,False
2022-03-07,29.9,33.1,26.8,0.0,None,Partly Cloudy,76,9,False
2022-03-08,28.3,31.8,24.9,0.0,None,Clear,73,5,False
2022-03-09,29.2,32.1,26.3,0.0,None,Clear,70,10,False
2022-03-10,29.1,31.8,26.5,0.0,None,Partly Cloudy,70,11,False
2022-03-11,29.8,32.4,27.1,0.0,None,Partly Cloudy,74,14,False
2022-03-12,30.5,33.5,27.6,0.0,None,Partly Cloudy,70,12,False
2022-03-13,29.7,32.9,26.5,0.0,None,Partly Cloudy,72,10,False
2022-03-14,29.2,32.2,26.2,0.0,None,Cloudy,67,9,False
2022-03-15,29.0,31.8,26.1,0.0,None,Clear,68,11,False
2022-03-16,31.0,33.8,28.2,0.0,None,Clear,65,11,False
2022-03-17,29.7,33.4,26.0,0.0,None,Partly Cloudy,72,8,False
2022-03-18,29.1,31.8,26.5,0.0,None,Partly Cloudy,71,9,False
2022-03-19,29.3,32.4,26.1,0.0,None,Clear,70,6,False
2022-03-20,29.5,32.6,26.3,0.0,None,Clear,65,12,False
2022-03-21,30.3,33.3,27.3,0.0,None,Partly Cloudy,72,5,False
2022-03-22,30.4,33.3,27.4,0.0,None,Partly Cloudy,74,8,False
2022-03-23,29.0,31.7,26.4,0.0,None,Clear,69,9,False
2022-03-24,28.5,31.5,25.5,0.0,None,Clear,74,9,False
2022-03-25,29.3,32.1,26.5,0.0,None,Partly Cloudy,67,11,False
2022-03-26,29.2,32.1,26.4,0.0,None,Partly Cloudy,68,5,False
2022-03-27,29.4,32.0,26.8,0.0,None,Clear,70,10,False
2022-03-28,30.6,33.2,28.0,0.0,None,Cloudy,70,8,False
2022-03-29,29.3,32.3,26.2,0.0,None,Clear,70,10,False
2022-03-30,29.9,32.6,27.3,0.0,None,Clear,76,11,False
2022-03-31,29.4,32.0,26.9,0.0,None,Partly Cloudy,68,10,False
2022-04-01,28.8,31.6,26.1,0.0,None,Clear,71,11,False
2022-04-02,30.1,32.8,27.3,0.0,None,Clear,69,5,False
2022-04-03,30.0,32.9,27.1,0.0,None,Clear,72,11,False
2022-04-04,30.6,33.4,27.8,15.0,Moderate,Thunderstorm,79,11,True
2022-04-05,30.6,33.8,27.3,0.0,None,Cloudy,68,8,False
2022-04-06,30.0,32.7,27.4,0.0,None,Partly Cloudy,67,9,False
2022-04-07,31.2,33.8,28.7,0.0,None,Cloudy,70,9,False
2022-04-08,29.6,32.3,26.8,8.0,Moderate,Moderate Rain,75,10,False
2022-04-09,28.7,31.4,26.0,0.0,None,Partly Cloudy,72,9,False
2022-04-10,30.5,33.8,27.3,22.4,Moderate,Moderate Rain,76,15,False
2022-04-11,29.3,31.5,27.1,0.0,None,Partly Cloudy,76,11,False
2022-04-12,30.4,33.2,27.6,0.0,None,Partly Cloudy,71,9,False
2022-04-13,30.9,33.8,28.0,0.0,None,Cloudy,71,5,False
2022-04-14,29.7,32.4,26.9,1.2,Light,Light Rain,69,15,False
2022-04-15,28.6,31.5,25.7,0.0,None,Partly Cloudy,73,5,False
2022-04-16,30.1,32.9,27.3,0.0,None,Partly Cloudy,70,13,False
2022-04-17,29.0,31.4,26.6,0.0,None,Clear,74,7,False
2022-04-18,30.2,32.9,27.5,0.0,None,Clear,69,10,False
2022-04-19,30.1,33.1,27.1,8.6,Moderate,Moderate Rain,74,7,False
2022-04-20,29.7,32.8,26.6,0.0,None,Clear,72,5,False
2022-04-21,28.6,31.7,25.4,0.0,None,Cloudy,70,9,False
2022-04-22,29.1,32.5,25.6,0.0,None,Partly Cloudy,72,10,False
2022-04-23,29.7,32.4,26.9,2.9,Light,Light Rain,68,10,False
2022-04-24,29.9,33.2,26.5,0.0,None,Partly Cloudy,69,8,False
2022-04-25,29.3,31.8,26.7,0.0,None,Partly Cloudy,71,8,False
2022-04-26,29.5,31.9,27.1,0.0,None,Clear,70,9,False
